,id,name,rating,reviews,host_id,address,country,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,tv,wifi,chromecast,refrigerator,kitchen,view,parking,workspace,pool,gym,no_pets,no_smoking,no_parties_or_events,house_rules_num,img_links_num,amenities_num
49,50664527,SAPANCA ELİTE BUNGALOW,-1.0,1,407278804,"Sapanca, Sakarya, Turkey",Turkey,1,2,4,0,1,0, After 2 00 pm, 11 00 am,False,True,False,False,True,True,True,True,True,False,False,False,False,6,7,11
50,41362723,Unique views of Rize badara plateau,4.69,13,325191756,"Hemşin, Rize, Turkey",Turkey,1,6,3,0,0,0, After 2 00 pm, 12 00 pm,False,True,False,False,True,True,True,True,False,False,False,False,False,6,8,10
51,679805160588663838,LOGIN OKINAWA -plants-,-1.0,0,151975076,"Onna, Kunigami District, Okinawa, Japan",Japan,1,6,8,0,3,0, After 4 00 pm, 11 00 am,True,True,False,False,True,False,True,True,False,False,False,False,False,6,6,10
52,44448191,PyramidHouse  (kubrik camping),4.89,19,310586245,"Konyaaltı, Antalya, Turkey",Turkey,1,0,2,0,0,0, After 1 00 pm, 12 00 pm,False,True,False,False,True,False,True,False,False,False,False,False,False,6,6,10
53,54336692,La Fuite bungalow,-1.0,0,195740271,"Mansourieh, Mount Lebanon Governorate, Lebanon",Lebanon,1,4,4,0,2,0,Flexible,Flexible,True,True,True,False,True,True,True,False,False,False,False,False,False,1,6,10
54,34029409,恩纳村的打卡圣地网红海景小木屋Cinderella J House,4.58,58,247159295,"Onna, Kunigami-gun, Okinawa, Japan",Japan,1,4,8,0,3,0, After 4 00 pm, 11 00 am,True,True,False,False,True,True,True,True,False,False,False,False,True,7,6,10
55,9583797,Hualien Taroko YU's B&B & Quad Room Cabin,4.87,137,49609264,"Xiulin Township, Taiwan",Taiwan,1,2,4,0,1,0, After 3 00 pm, 11 00 am,True,True,False,False,False,False,True,False,False,False,False,False,False,5,6,10
56,49536360,Treehouse in nature at the top of the Taurus mountains,5.0,3,327358116,"Arslanköy, Mersin, Turkey",Turkey,1,2,4,0,1,0, 1 00 pm - 6 00 pm, 11 00 am,False,False,False,False,True,True,True,True,False,False,True,True,False,7,6,10
57,50298039,Aranyam Cafe & resort,5.0,3,406146960,"Bhimtal, Uttarakhand, India",India,1,2,2,0,1,0, Flexible, 11 00 am,False,True,False,False,False,True,True,True,False,False,False,False,False,8,7,10
58,633164191583346395,Great Villa with Sea View and Private Pool in Kas,-1.0,1,440992509,"Gelemiş, Antalya, Turkey",Turkey,1,2,4,0,2,0, 2 00 pm - 12 00 am, 11 00 am,True,True,False,False,True,True,False,True,True,False,True,True,True,8,6,10
59,49593232,Daily Bungalow  🌲⛺️,5.0,3,306973752,"Uzundere, Rize, Turkey",Turkey,1,3,5,0,1,0, After 2 00 pm, 12 00 pm,False,False,False,False,True,True,True,True,False,False,False,False,False,5,7,10
60,43481854,CASE: PEACEFUL AND JACUZZI VILLA IN NATURE,5.0,7,15868087,"Kaş, Antalya, Turkey",Turkey,2,2,6,0,2,0, After 3 00 pm, 10 00 am,True,True,False,False,True,False,True,True,True,False,True,True,True,6,6,10
61,42466759,Balai Maniago,4.63,8,243842665,"San Felipe, Central Luzon, Philippines",Philippines,1,1,3,0,0,0,Flexible,Flexible,False,False,False,False,False,False,False,False,False,False,False,False,False,1,6,4
62,21689116,@ Bamboo Resort and ATV Park - Standard Room -EP,4.67,4,157897583,"Bijanbari, West Bengal, India",India,3,6,4,0,3,0, After 12 00 pm, 12 00 pm,False,False,False,False,False,False,True,False,True,False,True,False,False,5,6,9
63,636562135731372477,4-Person Villa with Nature View,-1.0,0,107878101,"Kaş, Antalya, Turkey",Turkey,2,3,4,0,2,0, After 4 00 pm, 10 00 am,True,True,False,False,True,False,True,False,True,False,False,False,False,2,6,10
64,548995415428144036,"A-Haus One (mini cabin) 
Min. 2pax - Max. 4pax",5.0,8,407902794,"Cavinti, Calabarzon, Philippines",Philippines,2,2,5,0,1,0, After 2 00 pm, 12 00 pm,False,False,False,False,True,True,False,True,False,False,False,False,False,8,7,10
65,22894844,Farmstay at Parule,5.0,8,5080298,"Parule, Maharashtra, India",India,1,2,2,0,0,0, 1 00 pm - 7 00 pm, 11 00 am,False,False,False,False,False,False,True,False,False,False,True,True,True,6,6,5
66,45745574,Forest Hut w/ access to natural pool & water falls,5.0,4,296204113,"Infanta, Calabarzon, Philippines",Philippines,1,2,2,0,1,0, 10 00 am - 12 00 pm,Flexible,False,False,False,False,True,True,True,True,True,False,False,False,False,8,6,10
67,51144177,Park Hotel Surami Chalet (Wild Berry),-1.0,1,395876880,"Surami, Shida Kartli., Georgia",Georgia,1,2,4,0,2,0, After 2 00 pm, 12 00 pm,True,True,False,False,True,True,True,True,True,False,False,False,False,5,6,10
68,580411049389757922,ALANYA BUNGALOW HOMES,-1.0,0,449098014,"Alanya, Antalya, Turkey",Turkey,1,4,2,0,1,0, 12 00 pm - 2 00 pm, 12 00 pm,False,True,False,False,True,True,True,True,False,False,False,True,False,4,7,10
69,36106612,Luxurios triangle beach house,4.91,33,271598294,"Caesarea, Haifa District, Israel",Israel,1,2,4,0,2,0, After 3 00 pm, 11 00 am,True,True,False,False,True,False,True,False,False,False,True,True,True,6,6,10
70,559078149985188587,Sea View Villa in Kas,-1.0,0,441414894,Turkey,Turkey,2,4,6,0,3,0, After 3 00 pm,Flexible,True,True,False,False,True,False,True,True,True,False,True,True,True,5,6,10
71,42028668,Spacio Caliraya Teepee House,-1.0,1,27317111,"Lumban, Calabarzon, Philippines",Philippines,0,1,2,0,1,0, 2 00 pm - 6 00 pm, 12 00 pm,False,False,False,False,False,False,True,False,True,False,True,True,True,8,7,8
72,54050839,The Cabin By Grey -Vacation House and Events Place,-1.0,0,35723751,"Kawit, Calabarzon, Philippines",Philippines,5,8,16,0,5,0,Flexible,Flexible,True,True,False,False,True,False,True,False,True,False,False,False,False,3,11,8
